sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
ZNF787_-_56632608.23-P1P2	ZNF787__P1P2	2891.1	15022/15759	2891.1	15390	2.4119	2.7135e+05	2.9985e+05	22.826	1	1.2605e-115	2.521e-115	6.9803e-113	True
USP28__P1P2__primary__FWD__35	USP28__P1P2	4154.5	20244/21039	4154.5	20641	2.3125	3.1627e+05	5.3099e+05	22.625	1	1.2209e-113	2.4417e-113	6.573e-111	True
CCDC6_+_61666146.23-P1P2	CCDC6__P1P2	2770.2	14703/14526	2770.2	14615	2.399	15593	2.8033e+05	22.371	1	3.7933e-111	7.5865e-111	1.9871e-108	True
CCDC6__P1P2__secondary__FWD__47	CCDC6__P1P2	2573.3	14219/13087	2573.3	13653	2.4071	6.4062e+05	2.496e+05	22.177	1	2.8601e-109	5.7203e-109	1.4588e-106	True
CCDC6_-_61666322.23-P1P2	CCDC6__P1P2	2826	13372/15358	2826	14365	2.3453	1.9732e+06	2.8928e+05	21.454	1	2.0831e-102	4.1663e-102	1.0353e-99	True
SGK223__P1P2__secondary__FWD__69	SGK223__P1P2	3010.5	15688/14571	3010.5	15129	2.3289	6.2368e+05	3.1959e+05	21.437	1	3.0265e-102	6.053e-102	1.4665e-99	True
SGK223__P1P2__secondary__FWD__73	SGK223__P1P2	3261.6	15810/15009	3261.6	15410	2.2398	3.2029e+05	3.626e+05	20.174	1	8.285e-91	1.657e-90	3.9166e-88	True
KIAA1429__P1P2__primarysecondary__FWD__61	KIAA1429__P1P2	3275.5	16137/14790	3275.5	15464	2.2387	9.0709e+05	3.6505e+05	20.172	1	8.546e-91	1.7092e-90	3.9438e-88	True
CCDC6__P1P2__secondary__FWD__71	CCDC6__P1P2	3315.8	15057/15566	3315.8	15312	2.2068	1.2982e+05	3.7215e+05	19.664	1	2.1979e-86	4.3959e-86	9.9071e-84	True
SGK223_-_8243728.23-P1P2	SGK223__P1P2	3387.1	16696/14283	3387.1	15489	2.1928	2.9119e+06	3.8484e+05	19.508	1	4.6553e-85	9.3107e-85	2.0507e-82	True
CCDC6__P1P2__secondary__FWD__75	CCDC6__P1P2	2605.9	12510/12099	2605.9	12305	2.2389	84474	2.5459e+05	19.222	1	1.2124e-82	2.4248e-82	5.222e-80	True
USP28_+_113746238.23-P1P2	USP28__P1P2	2850.8	13176/13328	2850.8	13252	2.2164	11484	2.9329e+05	19.206	1	1.6412e-82	3.2824e-82	6.9151e-80	True
PTPN12_-_77166641.23-P1P2	PTPN12__P1P2	3139.1	14462/14074	3139.1	14268	2.184	75485	3.4138e+05	19.048	1	3.4437e-81	6.8875e-81	1.4201e-78	True
SGK223__P1P2__secondary__FWD__74	SGK223__P1P2	2801.2	13011/12846	2801.2	12929	2.2061	13697	2.8529e+05	18.961	1	1.8033e-80	3.6065e-80	7.2815e-78	True
ZNF787_+_56632559.23-P1P2	ZNF787__P1P2	2509.7	11996/11536	2509.7	11766	2.2285	1.0561e+05	2.3995e+05	18.896	1	6.1931e-80	1.2386e-79	2.4497e-77	True
ING5_-_242641483.23-P1P2	ING5__P1P2	2556.2	11805/11620	2556.2	11712	2.1955	17257	2.47e+05	18.423	1	4.2609e-76	8.5217e-76	1.6517e-73	True
USP28__P1P2__primary__FWD__55	USP28__P1P2	2636.9	11632/12036	2636.9	11834	2.1656	81393	2.5938e+05	18.058	1	3.3852e-73	6.7704e-73	1.2865e-70	True
RBM15__110881839__FWD__70	RBM15__110881839	2604.3	10792/12398	2604.3	11595	2.1541	1.2893e+06	2.5435e+05	17.826	1	2.2032e-71	4.4065e-71	8.2122e-69	True
KIAA1429_+_95565606.23-P1P2	KIAA1429__P1P2	3650.7	15757/14979	3650.7	15368	2.0734	3.0285e+05	4.3309e+05	17.805	1	3.2234e-71	6.4468e-71	1.1788e-68	True
CCDC6_-_61666258.23-P1P2	CCDC6__P1P2	2457	10973/10593	2457	10783	2.1333	72435	2.3207e+05	17.283	1	3.1485e-67	6.2969e-67	1.1301e-64	True
ZNF787__P1P2__primary__RVS__57	ZNF787__P1P2	2953.1	12513/12475	2953.1	12494	2.0806	722.74	3.1005e+05	17.135	1	4.0823e-66	8.1645e-66	1.4386e-63	True
CBLL1_-_107384621.23-P1P2	CBLL1__P1P2	2901.9	12509/11865	2901.9	12187	2.0699	2.0763e+05	3.0163e+05	16.907	1	2.0091e-64	4.0182e-64	6.9536e-62	True
USP28_+_113746234.23-P1P2	USP28__P1P2	2985.6	12546/12196	2985.6	12371	2.0504	61238	3.1545e+05	16.71	1	5.5641e-63	1.1128e-62	1.892e-60	True
USP28_+_113745821.23-P1P2	USP28__P1P2	2255.5	9315.6/10180	2255.5	9747.8	2.1111	3.7364e+05	2.028e+05	16.637	1	1.8767e-62	3.7534e-62	6.2714e-60	True
USP28_-_113746230.23-P1P2	USP28__P1P2	3686.3	14204/14581	3686.3	14393	1.9648	71148	4.3977e+05	16.145	1	6.2034e-59	1.2407e-58	2.0379e-56	True
CYP51A1_+_91763777.23-P1P2	CYP51A1__P1P2	2294.3	9103.1/9717.1	2294.3	9410.1	2.0357	1.8845e+05	2.0832e+05	15.591	1	4.2214e-55	8.4429e-55	1.3637e-52	True
RBM5_-_50126593.23-P1P2	RBM5__P1P2	2990.3	11317/11907	2990.3	11612	1.9569	1.7364e+05	3.1623e+05	15.332	1	2.3352e-53	4.6705e-53	7.4199e-51	True
CCDC6_-_61666417.23-P1P2	CCDC6__P1P2	2329.9	9415.5/9373.3	2329.9	9394.4	2.0111	893.26	2.1344e+05	15.291	1	4.3724e-53	8.7449e-53	1.3669e-50	True
PTPN12_+_77167035.23-P1P2	PTPN12__P1P2	2985.6	11904/11240	2985.6	11572	1.9542	2.2025e+05	3.1545e+05	15.288	1	4.6222e-53	9.2444e-53	1.422e-50	True
CXorf56_+_118699159.23-P1P2	CXorf56__P1P2	3212	11725/12269	3212	11997	1.9008	1.4806e+05	3.5395e+05	14.766	1	1.215e-49	2.4301e-49	3.6797e-47	True
USP28__P1P2__primary__RVS__65	USP28__P1P2	3100.4	11681/11323	3100.4	11502	1.891	64147	3.3476e+05	14.521	1	4.4724e-48	8.9449e-48	1.3336e-45	True
KDM5C__P1P2__primary__FWD__67	KDM5C__P1P2	2266.4	8835.9/8787.6	2266.4	8811.7	1.9586	1166.8	2.0434e+05	14.479	1	8.166e-48	1.6332e-47	2.3981e-45	True
RBM5__P1P2__primarysecondary__FWD__37	RBM5__P1P2	2599.7	10059/9435.1	2599.7	9747	1.9062	1.9458e+05	2.5363e+05	14.192	1	5.1435e-46	1.0287e-45	1.4879e-43	True
SGK223_+_8243886.23-P1P2	SGK223__P1P2	2595	9203.8/10170	2595	9686.7	1.8999	4.6639e+05	2.5292e+05	14.101	1	1.8639e-45	3.7278e-45	5.3127e-43	True
RBM5_-_50126576.23-P1P2	RBM5__P1P2	2591.9	9809.4/9324.5	2591.9	9567	1.8836	1.1755e+05	2.5244e+05	13.882	1	4.0468e-44	8.0936e-44	1.1367e-41	True
MED13_-_60142558.23-P1P2	MED13__P1P2	2061.7	7616.5/8135.7	2061.7	7876.1	1.9331	1.3476e+05	1.7606e+05	13.857	1	5.7474e-44	1.1495e-43	1.5914e-41	True
ZNF608_+_124084166.23-P2	ZNF608__P2	2629.1	9453.3/9667.4	2629.1	9560.4	1.8621	22928	2.5818e+05	13.641	1	1.1378e-42	2.2756e-42	3.106e-40	True
TP53_-_7590396.23-P1P2	TP53__P1P2	2991.8	9819/11320	2991.8	10570	1.8205	1.1267e+06	3.1648e+05	13.47	1	1.1759e-41	2.3517e-41	3.1654e-39	True
CSNK2A1_+_524305.23-P1P2	CSNK2A1__P1P2	2849.2	9844.9/10411	2849.2	10128	1.8293	1.6004e+05	2.9304e+05	13.446	1	1.6323e-41	3.2646e-41	4.3339e-39	True
PTPN12_-_77166759.23-P1P2	PTPN12__P1P2	2463.2	8576.7/9246.2	2463.2	8911.5	1.8547	2.2409e+05	2.3299e+05	13.359	1	5.2478e-41	1.0496e-40	1.3745e-38	True
CSNK2A1_-_524311.23-P1P2	CSNK2A1__P1P2	3548.4	12078/12177	3548.4	12127	1.7727	4878.6	4.1411e+05	13.331	1	7.6195e-41	1.5239e-40	1.9691e-38	True
KIAA1429__P1P2__primarysecondary__RVS__36	KIAA1429__P1P2	2139.2	7924.5/7837.2	2139.2	7880.8	1.8808	3814.3	1.8659e+05	13.292	1	1.2881e-40	2.5762e-40	3.285e-38	True
CBLL1_+_107384793.23-P1P2	CBLL1__P1P2	3518.9	11708/12239	3518.9	11973	1.7663	1.413e+05	4.087e+05	13.225	1	3.1615e-40	6.323e-40	7.9579e-38	True
SGK223_+_8243645.23-P1P2	SGK223__P1P2	2036.9	8128.8/6852.9	2036.9	7490.8	1.8782	8.1409e+05	1.7273e+05	13.123	1	1.2216e-39	2.4432e-39	3.0355e-37	True
KDM5C_+_53254307.23-P1P2	KDM5C__P1P2	2722.1	8793.7/10324	2722.1	9558.7	1.8117	1.1704e+06	2.7271e+05	13.091	1	1.8437e-39	3.6875e-39	4.5235e-37	True
RSPH3_-_159420770.23-P1P2	RSPH3__P1P2	2484.9	8948.4/8619.6	2484.9	8784	1.8212	54058	2.3623e+05	12.96	1	1.0302e-38	2.0604e-38	2.4959e-36	True
RBM15__110881839__FWD__72	RBM15__110881839	2471	8966.9/8444.7	2471	8705.8	1.8165	1.3637e+05	2.3414e+05	12.885	1	2.7384e-38	5.4767e-38	6.5524e-36	True
SUPT20H_-_37633730.23-P1P2	SUPT20H__P1P2	3176.3	10918/10584	3176.3	10751	1.7587	55710	3.4778e+05	12.844	1	4.6434e-38	9.2868e-38	1.0975e-35	True
KIAA1429_-_95565701.23-P1P2	KIAA1429__P1P2	1957.9	7316/6931.2	1957.9	7123.6	1.8628	74030	1.623e+05	12.823	1	6.1314e-38	1.2263e-37	1.4318e-35	True
ZNF608_-_124084500.23-P2	ZNF608__P2	2684.9	8872.1/9716.2	2684.9	9294.2	1.7911	3.562e+05	2.6686e+05	12.794	1	8.8463e-38	1.7693e-37	2.0412e-35	True
KIRREL_+_157963838.23-P1P2	KIRREL__P1P2	2739.2	9101.6/9651.8	2739.2	9376.7	1.775	1.5132e+05	2.7541e+05	12.648	1	5.7412e-37	1.1482e-36	1.3091e-34	True
DOT1L_-_2164187.23-P1P2	DOT1L__P1P2	2280.3	7906/8131.3	2280.3	8018.7	1.8137	25387	2.0633e+05	12.633	1	6.9365e-37	1.3873e-36	1.5633e-34	True
CXorf56_+_118699193.23-P1P2	CXorf56__P1P2	2765.5	9717.6/9056.5	2765.5	9387	1.7628	2.1854e+05	2.7959e+05	12.523	1	2.8076e-36	5.6152e-36	6.2548e-34	True
SUPT20H__P1P2__secondary__RVS__54	SUPT20H__P1P2	2818.2	9569.5/9353.3	2818.2	9461.4	1.7469	23387	2.8803e+05	12.378	1	1.7169e-35	3.4338e-35	3.7815e-33	True
CYP51A1__P1P2__primary__FWD__33	CYP51A1__P1P2	2399.7	8424.2/8056.5	2399.7	8240.4	1.7794	67619	2.2359e+05	12.352	1	2.3758e-35	4.7515e-35	5.1738e-33	True
KIRREL__P1P2__primary__RVS__35	KIRREL__P1P2	3416.6	10747/11379	3416.6	11063	1.6948	2.0015e+05	3.9013e+05	12.242	1	9.271e-35	1.8542e-34	1.9966e-32	True
RNF146_-_127588049.23-P1P2	RNF146__P1P2	2725.2	9092/9065.2	2725.2	9078.6	1.7357	360.01	2.732e+05	12.155	1	2.6887e-34	5.3773e-34	5.7266e-32	True
SUFU__104263513__RVS__28	SUFU__104263513	2788.8	9060.9/9332.4	2788.8	9196.7	1.7211	36842	2.8331e+05	12.039	1	1.1094e-33	2.2188e-33	2.3372e-31	True
KDM5C_+_53254321.23-P1P2	KDM5C__P1P2	2748.5	9163.8/8993	2748.5	9078.4	1.7234	14600	2.7688e+05	12.03	1	1.2416e-33	2.4832e-33	2.5876e-31	True
CXorf56_-_118699001.23-P1P2	CXorf56__P1P2	2991.8	9243.8/10067	2991.8	9655.4	1.69	3.3877e+05	3.1648e+05	11.845	1	1.1451e-32	2.2902e-32	2.3611e-30	True
CYP51A1__P1P2__primary__RVS__61	CYP51A1__P1P2	2698.9	9189/8437.7	2698.9	8813.3	1.707	2.8224e+05	2.6905e+05	11.788	1	2.2478e-32	4.4956e-32	4.586e-30	True
CSNK2A1_+_524079.23-P1P2	CSNK2A1__P1P2	2638.4	8199.9/9015.6	2638.4	8607.8	1.7056	3.3265e+05	2.5962e+05	11.715	1	5.3084e-32	1.0617e-31	1.0717e-29	True
RBM5_+_50126432.23-P1P2	RBM5__P1P2	2977.9	9797.6/8949.4	2977.9	9373.5	1.654	3.5966e+05	3.1416e+05	11.411	1	1.8529e-30	3.7058e-30	3.7024e-28	True
KIRREL_+_157963477.23-P1P2	KIRREL__P1P2	2519	8137.7/8109.6	2519	8123.7	1.6889	396.19	2.4136e+05	11.408	1	1.9033e-30	3.8066e-30	3.7643e-28	True
CSNK2A1__P1P2__secondary__RVS__29	CSNK2A1__P1P2	3100.4	9679.1/9703.1	3100.4	9691.1	1.6439	288.56	3.3476e+05	11.391	1	2.3135e-30	4.627e-30	4.5293e-28	True
MEAF6__P1P2__primarysecondary__RVS__52	MEAF6__P1P2	3456.9	10974/10157	3456.9	10565	1.6115	3.3406e+05	3.9741e+05	11.276	1	8.6344e-30	1.7269e-29	1.6735e-27	True
ZNF608_+_124084015.23-P2	ZNF608__P2	3103.5	9424.4/9790.2	3103.5	9607.3	1.6299	66879	3.3529e+05	11.232	1	1.4184e-29	2.8367e-29	2.7218e-27	True
KIFAP3__P1P2__secondary__RVS__35	KIFAP3__P1P2	2458.6	8234/7469	2458.6	7851.5	1.6747	2.9257e+05	2.323e+05	11.189	1	2.3003e-29	4.6007e-29	4.3711e-27	True
RNF146__P1P2__secondary__FWD__80	RNF146__P1P2	2483.4	7817.9/7972.9	2483.4	7895.4	1.6683	12018	2.36e+05	11.141	1	3.9813e-29	7.9626e-29	7.4918e-27	True
NF2__29999349__RVS__76	NF2__29999349	2540.7	7540.3/8397.7	2540.7	7969	1.6488	3.6754e+05	2.4464e+05	10.975	1	2.5279e-28	5.0558e-28	4.7111e-26	True
RNF146_+_127588398.23-P1P2	RNF146__P1P2	3371.6	9993/10305	3371.6	10149	1.5896	48790	3.8207e+05	10.965	1	2.8213e-28	5.6426e-28	5.2079e-26	True
RNF146__P1P2__secondary__FWD__42	RNF146__P1P2	2804.3	8582.7/8713.6	2804.3	8648.1	1.6244	8568.5	2.8579e+05	10.931	1	4.0793e-28	8.1586e-28	7.459e-26	True
BAD_+_64052144.23-P1P2	BAD__P1P2	2098.9	6779.2/6610.9	2098.9	6695.1	1.673	14166	1.8108e+05	10.801	1	1.708e-27	3.416e-27	3.0939e-25	True
RBM5__P1P2__primarysecondary__FWD__72	RBM5__P1P2	1793.6	6100.3/5595.2	1793.6	5847.8	1.7045	1.2756e+05	1.4138e+05	10.782	1	2.0842e-27	4.1684e-27	3.7404e-25	True
RNF146__P1P2__secondary__FWD__27	RNF146__P1P2	2280.3	7098.3/7200.1	2280.3	7149.2	1.6481	5181.6	2.0633e+05	10.719	1	4.1476e-27	8.2952e-27	7.3751e-25	True
RNF146_-_127588251.23-P1P2	RNF146__P1P2	2072.6	6307.6/6847.6	2072.6	6577.6	1.6657	1.458e+05	1.7752e+05	10.692	1	5.5185e-27	1.1037e-26	9.7236e-25	True
FAM64A_+_6348127.23-P1P2	FAM64A__P1P2	2156.3	6616.3/6954.7	2156.3	6785.5	1.6534	57233	1.8894e+05	10.65	1	8.7175e-27	1.7435e-26	1.5222e-24	True
KIRREL_-_157963896.23-P1P2	KIRREL__P1P2	3512.7	10170/10341	3512.7	10256	1.5455	14642	4.0757e+05	10.562	1	2.239e-26	4.4779e-26	3.8746e-24	True
KIRREL_-_157963806.23-P1P2	KIRREL__P1P2	1959.4	6388.3/5974.7	1959.4	6181.5	1.657	85542	1.625e+05	10.474	1	5.7022e-26	1.1404e-25	9.7805e-24	True
PTPN12__P1P2__primary__FWD__55	PTPN12__P1P2	1582.7	5075/5188.8	1582.7	5131.9	1.6964	6478.9	1.1613e+05	10.415	1	1.0585e-25	2.1171e-25	1.7997e-23	True
BBC3_+_47734383.23-P1P2	BBC3__P1P2	3008.9	8772.9/9011.2	3008.9	8892.1	1.563	28391	3.1933e+05	10.411	1	1.1046e-25	2.2092e-25	1.8617e-23	True
MEAF6__P1P2__primarysecondary__RVS__43	MEAF6__P1P2	2129.9	6560.1/6611.8	2129.9	6585.9	1.6281	1335.9	1.8531e+05	10.351	1	2.0664e-25	4.1329e-25	3.4527e-23	True
CXorf56_+_118699170.23-P1P2	CXorf56__P1P2	2515.9	7221.9/7895.5	2515.9	7558.7	1.5867	2.2683e+05	2.4089e+05	10.274	1	4.5911e-25	9.1821e-25	7.6055e-23	True
BCR_+_23523092.23-P1P2	BCR__P1P2	2049.3	6111.4/6562.2	2049.3	6336.8	1.6281	1.0158e+05	1.7439e+05	10.267	1	4.9687e-25	9.9374e-25	8.1613e-23	True
SND1_+_127292678.23-P1P2	SND1__P1P2	2081.9	6725.9/6106.1	2081.9	6416	1.6233	1.9207e+05	1.7877e+05	10.251	1	5.8779e-25	1.1756e-24	9.5736e-23	True
RBL1_-_35724244.23-P1P2	RBL1__P1P2	2478.7	7473.7/7407.2	2478.7	7440.4	1.5854	2205.4	2.353e+05	10.229	1	7.3783e-25	1.4757e-24	1.1917e-22	True
CYP51A1__P1P2__secondary__FWD__70	CYP51A1__P1P2	3225.9	9200.1/9441.2	3225.9	9320.6	1.5304	29053	3.5637e+05	10.209	1	8.9979e-25	1.7996e-24	1.4413e-22	True
PRMT7_-_68344977.23-P1P2	PRMT7__P1P2	2760.9	8256.2/8036.5	2760.9	8146.3	1.5607	24136	2.7885e+05	10.198	1	1.0069e-24	2.0138e-24	1.5996e-22	True
FBXO42_+_16678915.23-P1P2	FBXO42__P1P2	2035.4	6306.2/6223.6	2035.4	6264.9	1.6215	3406.2	1.7253e+05	10.183	1	1.1849e-24	2.3698e-24	1.8672e-22	True
SUPT20H_+_37633763.23-P1P2	SUPT20H__P1P2	3363.9	10132/9152.2	3363.9	9642.2	1.519	4.8017e+05	3.8069e+05	10.176	1	1.2746e-24	2.5493e-24	1.9924e-22	True
DOT1L_-_2163964.23-P1P2	DOT1L__P1P2	2255.5	6155.9/7512.5	2255.5	6834.2	1.5989	9.203e+05	2.028e+05	10.167	1	1.3883e-24	2.7767e-24	2.1527e-22	True
PRMT7_-_68344965.23-P1P2	PRMT7__P1P2	2233.8	6784.4/6679.7	2233.8	6732	1.5911	5486	1.9974e+05	10.065	1	3.9492e-24	7.8985e-24	6.0749e-22	True
HEATR3_+_50099962.23-P1P2	HEATR3__P1P2	2460.1	7070.9/7530	2460.1	7300.4	1.5689	1.0536e+05	2.3253e+05	10.038	1	5.2021e-24	1.0404e-23	7.9391e-22	True
USP10__P1P2__primarysecondary__FWD__61	USP10__P1P2	2081.9	6010.8/6573.5	2081.9	6292.1	1.5952	1.5833e+05	1.7877e+05	9.9576	1	1.1681e-23	2.3362e-23	1.7688e-21	True
TADA2B_-_7045121.23-P1P2	TADA2B__P1P2	2610.5	7837.2/7413.3	2610.5	7625.2	1.5461	89814	2.553e+05	9.9248	1	1.6246e-23	3.2491e-23	2.4409e-21	True
KIAA1429_-_95565479.23-P1P2	KIAA1429__P1P2	3997.9	11570/10356	3997.9	10963	1.4551	7.3696e+05	4.9978e+05	9.8521	1	3.3562e-23	6.7123e-23	5.0038e-21	True
BAD__P1P2__secondary__FWD__29	BAD__P1P2	3325.1	9402.2/9246.2	3325.1	9324.2	1.4873	12169	3.738e+05	9.8122	1	4.9892e-23	9.9783e-23	7.3817e-21	True
MEAF6_+_37980328.23-P1P2	MEAF6__P1P2	3726.6	10582/9819.7	3726.6	10201	1.4525	2.9075e+05	4.4738e+05	9.6797	1	1.8384e-22	3.6767e-22	2.6993e-20	True
PMAIP1__57567020__RVS__75	PMAIP1__57567020	2626	7269.3/7772.8	2626	7521	1.5177	1.2673e+05	2.577e+05	9.6428	1	2.637e-22	5.2741e-22	3.8429e-20	True
TP53BP1_+_43785295.23-P1	TP53BP1__P1	2901.9	8281.4/8048.7	2901.9	8165	1.4921	27074	3.0163e+05	9.583	1	4.7113e-22	9.4227e-22	6.8146e-20	True
CSNK2A1_-_524386.23-P1P2	CSNK2A1__P1P2	2824.4	7384.1/8438.6	2824.4	7911.3	1.4856	5.5597e+05	2.8903e+05	9.4619	1	1.5118e-21	3.0236e-21	2.1705e-19	True
KIRREL_+_157963474.23-P1P2	KIRREL__P1P2	2858.5	7752.8/8207.9	2858.5	7980.3	1.4809	1.0359e+05	2.9455e+05	9.4372	1	1.9141e-21	3.8282e-21	2.7278e-19	True
CSNK2A1_-_524399.23-P1P2	CSNK2A1__P1P2	2514.4	7347.1/6936.4	2514.4	7141.7	1.5057	84320	2.4066e+05	9.4326	1	1.9995e-21	3.999e-21	2.8288e-19	True
PTPN14_+_214724894.23-P1P2	PTPN14__P1P2	2974.8	8060.7/8436	2974.8	8248.3	1.471	70392	3.1365e+05	9.4164	1	2.3351e-21	4.6702e-21	3.2796e-19	True
MEAF6_-_37980311.23-P1P2	MEAF6__P1P2	2260.2	6517.1/6417.7	2260.2	6467.4	1.5163	4945.3	2.0346e+05	9.3273	1	5.4299e-21	1.086e-20	7.5714e-19	True
CXorf56__P1P2__primarysecondary__FWD__209	CXorf56__P1P2	1568.8	4896.6/4516.1	1568.8	4706.3	1.5843	72390	1.1452e+05	9.2714	1	9.182e-21	1.8364e-20	1.2712e-18	True
